title,typeOfResource,genre,placeTerm,publisher,dateIssued,languageTerm,form(marccategory),form(marcsmd),extent
"          Maps of Porter County with Valparaiso & South Haven, with Valparaiso University campus map, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1985 1985,          eng       ,map map,map view,"3 maps and 1 view on 1 sheet : both sides ; 69 x 46 cm. or smaller, sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Porter County with Valparaiso and South Haven, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1985 1985,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 69 x 46 cm. or smaller, sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Porter County with Valparaiso and South Haven, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1983 1983,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 69 x 51 cm. or smaller, sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Porter County with Portage, Valparaiso & South Haven, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1988 1988,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 59 x 46 cm. or smaller, sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Howard County with Kokomo and Grissom Air Force Base, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1989 1989,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 78 x 87 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Howard County with Kokomo and Grissom Air Force Base, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1986 1986,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 87 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Howard County with Kokomo and Grissom Air Force Base, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1987 1987,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 76 x 87 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Howard County with Kokomo and Grissom Air Force Base, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1985 1985,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 87 x 75 cm. or smaller, sheet 59 x 89 cm., folded to 23 x 21 cm."
"          Maps of Howard County with Kokomo and Grissom Air Force Base, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1984 1984,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 74 x 87 cm. or smaller, sheet 59 x 89 cm., folded to 23 x 21 cm."
"          Maps of Howard County with Kokomo and Grissom Air Force Base, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1988 1988,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 87 x 87 cm. or smaller, sheet 59 x 89 cm., folded to 20 x 23 cm."
"          Maps of Monroe County and Bloomington, with the campus map of Indiana University, Indiana          happy to find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1982 1982,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 65 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Monroe County with Bloomington and Ellettsville, including the Indiana University campus, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1983 1983,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 71 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Monroe County with Bloomington and Ellettsville, including the Indiana University campus, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1985 1985,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 75 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Monroe County with Bloomington and Ellettsville, including the Indiana University campus, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1986 1986,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 72 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Monroe County with Bloomington and Ellettsville, including the Indiana University campus, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1987 1987,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 74 x 57 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Map of Tippecanoe County with Lafayette & West Lafayette, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1988 1988,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 57 x 42 cm. and 87 x 57 cm, sheet 59 x 89 cm., folded to 20 x 23 cm."
"          Map of Tippecanoe County with Lafayette & West Lafayette, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1987 1987,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 48 x 42 cm. and 87 x 57 cm, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Map of Tippecanoe County with Lafayette & West Lafayette, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1989 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 46 x 42 cm. and 87 x 56 cm, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Tippecanoe County with Lafayette and campus of Purdue University, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1981 1981,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 65 x 56 cm. or smaller, sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Tippecanoe County with Lafayette and campus of Purdue University, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1982 1982,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 58 x 47 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Tippecanoe County with Lafayette and campus of Purdue University, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1983 1983,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 87 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Tippecanoe County with Lafayette and campus of Purdue University, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1984 1984,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 87 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 20 x 23 cm."
"          Maps of Tippecanoe County with Lafayette and campus of Purdue University, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1985 1985,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 87 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Map of Tippecanoe County with Lafayette & West Lafayette, Indiana, with the Purdue University campus map          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1986 1986,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 87 x 57 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Johnson County, Whiteland, Franklin, and Greenwood, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1984 1984,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 74 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 23 x 21 cm."
"          Maps of Johnson County, Whiteland, Franklin, and Greenwood, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1985 1985,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 65 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 23 x 20 cm."
"          Maps of Johnson County, Whiteland, Franklin, and Greenwood, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1986 1984,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 64 x 57 cm. or smaller, sheet 59 x 89 cm., folded to 23 x 21 cm."
"          Maps of Johnson County, Whiteland, Franklin, and Greenwood, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1987 1987,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 64 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 23 x 21 cm."
"          Maps of Johnson County, Whiteland, Franklin, and Greenwood, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1988 1988,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 69 x 57 cm. or smaller, sheet 59 x 89 cm., folded to 23 x 21 cm."
"          Maps of Johnson County, Whiteland, Franklin, and Greenwood, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1989 1989,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 64 x 57 cm. or smaller, sheet 59 x 89 cm., folded to 23 x 21 cm."
"          Universal atlas of southern New Hampshire, with part of Maine          115 maps/cities & towns                  Atlas of southern New Hampshire, with part of Maine                  Southern New Hampshire, with part of Maine       ",                   cartographic                ,atlas,"Stoughton, MA",Universal Pub. Co.,c1998] 1998,          eng       ,map,atlas,1 atlas (136 p.) : col. maps ; 37 cm.
"          Atlas des peuples d'Orient          Moyen-Orient, Caucase, Asie Centrale       ",                   cartographic                ,atlas,Paris,La De?couverte,c1999 1999,          fre       ,map,atlas,1 atlas (200 p.) : col. maps ; 18 x 24 cm.
          Miniatlante stradale d'Italia       ,                   cartographic                ,atlas,Milano,Touring club italiano,1996,          ita       ,map,atlas,"1 atlas (v, 46 p.) : col. maps ; 23 cm."
"          Stor kartbok Norge, 1999/2000       ",                   cartographic                ,atlas,Oslo,J.W. Cappelens forlag,c1999] 1999,          nor                  eng                  fre                  ger       ,map,atlas,1 atlas (208 p.) : col. maps ; 35 cm.
"          Atlas, schema national et schemas re?gionaux d'ame?nagement du territoire                  Schema national et schemas re?gionaux d'ame?nagement du territoire       ",                   cartographic                ,atlas government publication,Tunis],URBAPLAN C.N.E.A. DIRASSET SCET-Tunisie,1985,          fre       ,map,atlas,1 atlas (120 p.) : col. maps (some folded) ; 40 cm.
          Uganda primary atlas for social studies       ,                   cartographic                ,atlas,"Harlow, Essex [England]",Addison Wesley Longman Ltd.,c1998 1998,          eng       ,map,atlas,"1 atlas (65 p.) : col. ill., col. maps ; 29 cm."
"          Pittsburgh & Allegheny County StreetAtlas          including Aliquippa, Ambridge, Baldwin ... & neighboring communities                  Pittsburgh and  Allegheny County street atlas                  Pittsburgh & Allegheny County, PA street atlas       ",                   cartographic                ,atlas,"Williamston, MI]",UniversalMAP,[1999?] 1999,          eng       ,map,atlas,"1 atlas (iv, 81, 49 p.) : maps ; 28 cm."
"          Road maps of Kuala Lumpur and its surroundings          covering Kuala Lumpur, Petaling Jaya, Subang Jaya, and Shah Alam       ",                   cartographic                ,atlas,Kuala Lumpur,Citymap Pub.,1991,          eng       ,map,atlas,"1 atlas (69, [63] p.) : ill. (some col.), col. maps ; 26 cm."
"          Frommer's road atlas, Britain                  Road atlas, Britain                  England, Scotland, Wales, Ireland       ",                   cartographic                ,atlas,"Basingstoke, Hampshire New York","AA Pub. Published in the U.S. by Macmillan Travel, USA",1999,          eng       ,map,atlas,"1 atlas (xvi, 192 p.) : col. ill., col. maps ; 30 cm."
          Atlas rive-sud et Monte?re?gie                  Monte?re?gie & south shore atlas                  Monte?re?gie and south shore atlas       ,                   cartographic                ,atlas,"St.-Laurent, Que?bec","Cartotek Ge?o inc. Distribtution, J.D.M. Ge?o Distribution inc.",c1999 1999,          fre                  eng       ,map,atlas,1 atlas (160 p.) : col. maps ; 22 cm.
"          Maps of Crown Point & Merrillville, Indiana          happy to help you find your way around!                  Maps of Crown Point and Merrillville, Indiana       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1981 1981,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 69 x 56 cm. and 56 x 87 cm., sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Crown Point & Merrillville, Indiana          happy to help you find your way around!                  Maps of Crown Point and Merrillville, Indiana       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1982 1982,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 69 x 56 cm. and 56 x 87 cm., sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Crown Point & Merrillville, Indiana          happy to help you find your way around!                  Maps of Crown Point and Merrillville, Indiana       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1984 1984,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 60 x 56 cm. and 56 x 87 cm., sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Crown Point & Merrillville, Indiana          happy to help you find your way around!                  Maps of Crown Point and Merrillville, Indiana       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1985 1985,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 59 x 56 cm. and 56 x 87 cm., sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Clarksville, Jeffersonville, and New Albany, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1983 1983,          eng       ,map,map,"1 map : both sides ; 87 x 108 cm., on sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Clarksville, Jeffersonville, and New Albany, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1984 1984,          eng       ,map,map,"1 map : both sides ; 87 x 108 cm., on sheet 89 x 59 cm., folded to 23 x 20 cm."
"          Maps of Clarksville, Jeffersonville, and New Albany, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1985 1985,          eng       ,map,map,"1 map : both sides ; 87 x 108 cm., on sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Clarksville, Jeffersonville, and New Albany, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1986 1986,          eng       ,map,map,"1 map : both sides ; 87 x 110 cm., on sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Clarksville, Jeffersonville, and New Albany, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1988 1988,          eng       ,map,map,"1 map : both sides ; 87 x 110 cm., on sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Clarksville, Jeffersonville, and New Albany, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1989 1989,          eng       ,map,map,"1 map : both sides ; 67 x 109 cm., on sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Clarksville, Jefferson [i.e. Jeffersonville], and New Albany, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1990 1990,          eng       ,map,map,"1 map : both sides ; 69 x 108 cm., on sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Bartholomew County & Columbus, Indiana          happy to help you find your way around!                  Maps of Bartholomew County and Columbus, Indiana       ",                   cartographic                ,map,"Springdale, Ohio","Merchant Maps, Division of Mass Marketing",c1981 1981,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 55 cm. and 69 x 56 cm., sheet 59 x 89 cm., folded to 20 x 23 cm."
"          Maps of Bartholomew County & Columbus, Indiana          happy to help you find your way around!                  Maps of Bartholomew County and Columbus, Indiana       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1982 1982,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 55 cm. and 68 x 56 cm., sheet 59 x 89 cm., folded to 20 x 23 cm."
"          Maps of Bartholomew County & Columbus, Indiana          happy to help you find your way around!                  Maps of Bartholomew County and Columbus, Indiana       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1983 1983,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 55 cm. and 68 x 56 cm., sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Bartholomew County & Columbus, Indiana          happy to help you find your way around!                  Maps of Bartholomew County and Columbus, Indiana       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1984 1984,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 55 cm. and 62 x 56 cm., sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Bartholomew County & Columbus, Indiana          happy to help you find your way around!                  Maps of Bartholomew County and Columbus, Indiana       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1986 1986,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 57 x 53 cm. and 54 x 57 cm., sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Bartholomew County and Columbus, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1988 1988,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 48 x 47 cm. and 49 x 56 cm., sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Bartholomew County & Columbus, Indiana          happy to help you find your way around!                  Maps of Bartholomew County and Columbus, Indiana       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1985 1985,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 53 cm. and 52 x 56 cm., sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Bartholomew County and Columbus, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1989 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 47 x 47 cm. and 49 x 57 cm., sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Wayne County with Richmond, Centerville, Cambridge City, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1985 1985,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 45 x 61 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Wayne County with Richmond, Centerville, Cambridge City, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1987 1987,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 48 x 68 cm. or smaller, sheet 59 x 89 cm., folded to 20 x 23 cm."
"          Maps of Wayne County with Richmond, Centerville, Cambridge City, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1988 1988,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 50 x 67 cm. or smaller, sheet 59 x 89 cm., folded to 20 x 23 cm."
"          Maps of Wayne County with Richmond, Centerville, Cambridge City, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1989 1989,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 49 x 66 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Wayne County with Richmond, Centerville, Cambridge City, and Hagerstown, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1982 1982,          eng       ,map,map,"5 maps on 1 sheet : both sides ; 59 x 89 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Wayne County with Richmond, Centerville, Cambridge City, and Hagerstown, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1984 1984,          eng       ,map,map,"5 maps on 1 sheet : both sides ; 47 x 64 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Madison County and Anderson, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Springdale, Ohio","Merchant Maps, Division of Mass Marketing",c1980 1980,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 65 x 35 cm. and 56 x 88 cm., sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Madison County and Anderson, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1982 1982,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 65 x 35 cm. and 56 x 87 cm., sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Madison County and Anderson, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1983 1983,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 65 x 36 cm. and 56 x 87 cm., sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Madison County and Anderson, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1984 1984,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 65 x 35 cm. and 56 x 87 cm., sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Madison County and Anderson, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1985 1985,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 65 x 36 cm. and 56 x 87 cm., sheet 89 x 59 cm., folded to 23 x 20 cm."
"          Maps of Madison County and Anderson, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1987 1987,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 69 x 50 cm. and 57 x 65 cm., sheet 89 x 59 cm., folded to 23 x 20 cm."
"          Maps of Madison County and Anderson, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1988 1988,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 69 x 44 cm. and 57 x 64 cm., sheet 89 x 59 cm., folded to 23 x 20 cm."
"          Maps of Madison County and Anderson, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1989 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 68 x 45 cm. and 57 x 65 cm., sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Grant County with Marion, Gas City & Jonesboro, Indiana       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1983 1983,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 87 x 56 cm. or smaller, sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Grant County with Marion, Gas City & Jonesboro, Indiana       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1985 1985,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 87 x 56 cm. or smaller, sheet 89 x 59 cm., folded to 23 x 20 cm."
"          Maps of Grant County with Marion, Gas City & Jonesboro, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1987 1987,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 59 x 57 cm. or smaller, sheet 89 x 59 cm., folded to 23 x 21 cm."
"          Maps of Grant County with Marion, Gas City & Jonesboro, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1988 1988,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 60 x 47 cm. or smaller, sheet 59 x 89 cm., folded to 21 x 23 cm."
"          Maps of Grant County with Marion, Gas City & Jonesboro, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps Division",c1989 1989,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 60 x 46 cm. or smaller, sheet 89 x 59 cm., folded to 21 x 23 cm."
"          Maps of Kosciusko County with cities of Pierceton and Warsaw, Indiana          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing, Merchant Maps Division",c1985 1985,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 55 x 69 cm. or smaller, sheet 89 x 59 cm., folded to 21 x 23 cm."
          Depth-duration frequency of precipitation for Oklahoma       ,                   cartographic                ,atlas government publication,"Oklahoma City, OK Denver, CO","U.S. Dept. of the Interior, U.S. Geological Survey U.S. Geological Survey, Branch of Information Services [distributor]",1999,          eng       ,map,atlas,"1 atlas (iv, 113 p.) : maps ; 28 x 44 cm."
"          La           Habana antigua, patrimonio de la humanidad          gui?a turi?stica, Cuba = Ancient Havana, world heritage site : tourist guide, Cuba                  Ancient Havana, world heritage site                  Habana antigua       ",                   cartographic                ,atlas,"La Habana, Cuba",Ediciones GEO,1997,          spa                  eng       ,map,atlas,"1 atlas (128 p.) : col. ill., col. maps ; 18 cm."
"          Adams County with Quincy, Illinois       ",                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"2 maps on 1 sheet ; sheet 89 x 59 cm., folded to 23 x 11 cm."
"          Maps of Adams County and Quincy, Illinois       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps,c1978 1978,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 57 x 90 cm. and 93 x 60 cm., sheet 63 x 97 cm., folded to 25 x 11 cm."
"          McDonough County with Macomb, Illinois       ",                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"2 maps on 1 sheet ; sheet 89 x 59 cm., folded to 23 x 11 cm."
"          Maps of Knox County, Galesburg, East Galesburg, and Knoxville, Illinois          happy to help you find your way around!       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps,c1979 1979,          eng       ,map,map,"3 maps on 1 sheet : both sides ; sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of Madison County, Alton, and surrounding areas       ",                   cartographic                ,map,"Springdale, Ohio?]",Merchant Maps,[197-?] 1970 1979,          eng       ,map,map,"3 maps on 1 sheet : both sides ; sheet 89 x 59 cm., folded to 10 x 23 cm."
"          Maps of Edwardsville, Collinsville, and Madison County, Illinois          happy to help you find your way around!       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps,c1979 1979,          eng       ,map,map,"3 maps on 1 sheet : both sides ; sheet 59 x 89 cm., folded to 11 x 23 cm."
